customer_id,segment,txn_year,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
C03358,Premium,2023,13,9,1412.7,5,4,5,14,Champion
C03382,VIP,2023,27,12,2923,5,4,5,14,Champion
C03395,VIP,2023,31,16,1194.8,4,5,5,14,Champion
C03428,VIP,2023,26,14,704.54,5,5,4,14,Champion
C03444,VIP,2023,6,9,1089.68,5,4,5,14,Champion
C03474,Regular,2023,8,8,1004.73,5,4,5,14,Champion
C03716,Premium,2023,0,8,6904.65,5,4,5,14,Champion
C03717,Premium,2023,7,8,1558.14,5,4,5,14,Champion
C03957,VIP,2023,19,12,1132.11,5,4,5,14,Champion
C04104,VIP,2023,6,10,1805.09,5,4,5,14,Champion
C04107,Premium,2023,17,8,1017.2,5,4,5,14,Champion
C04261,VIP,2023,21,11,1349.38,5,4,5,14,Champion
C04277,VIP,2023,15,8,1514.19,5,4,5,14,Champion
C04284,VIP,2023,22,10,1305.19,5,4,5,14,Champion
C04491,VIP,2023,0,15,984.16,5,5,4,14,Champion
C04512,VIP,2023,5,12,1718.93,5,4,5,14,Champion
C04530,Premium,2023,13,9,1001.82,5,4,5,14,Champion
C04537,VIP,2023,7,14,650.71,5,5,4,14,Champion
C04559,Premium,2023,5,10,1491.19,5,4,5,14,Champion
C04576,Premium,2023,4,10,1226.44,5,4,5,14,Champion
C04679,VIP,2023,24,11,1133.54,5,4,5,14,Champion
C04689,Premium,2023,35,13,1241.96,4,5,5,14,Champion
C04769,Premium,2023,2,12,2192.72,5,4,5,14,Champion
C05213,VIP,2023,4,9,1163.01,5,4,5,14,Champion
C05242,Regular,2023,1,8,1030.76,5,4,5,14,Champion
C05263,VIP,2023,17,11,1066.84,5,4,5,14,Champion
C05555,VIP,2023,14,14,862.15,5,5,4,14,Champion
C05599,Regular,2023,12,8,1059.1,5,4,5,14,Champion
C05656,VIP,2023,4,13,559.71,5,5,4,14,Champion
C05821,Premium,2023,21,9,1649.2,5,4,5,14,Champion
C05845,VIP,2023,16,11,1220.87,5,4,5,14,Champion
C05905,VIP,2023,4,11,4252.12,5,4,5,14,Champion
C06036,VIP,2023,14,8,1151.39,5,4,5,14,Champion
C06059,VIP,2023,10,9,1345.94,5,4,5,14,Champion
C06118,VIP,2023,3,11,1009.84,5,4,5,14,Champion
C06307,Premium,2023,8,10,1033.63,5,4,5,14,Champion
C06469,VIP,2023,27,8,1067.21,5,4,5,14,Champion
C06569,VIP,2023,28,10,1251.33,5,4,5,14,Champion
C06581,Regular,2023,6,8,1221.75,5,4,5,14,Champion
C06588,VIP,2023,19,8,1022.73,5,4,5,14,Champion
C06692,VIP,2023,17,13,585.06,5,5,4,14,Champion
C06740,Regular,2023,25,10,2468.76,5,4,5,14,Champion
C07481,VIP,2023,6,10,2155.1,5,4,5,14,Champion
C07724,VIP,2023,21,15,589.8,5,5,4,14,Champion
C07797,VIP,2023,34,15,1906.94,4,5,5,14,Champion
C07913,VIP,2023,12,12,1053.16,5,4,5,14,Champion
C07991,VIP,2023,15,10,1133.43,5,4,5,14,Champion
C07993,VIP,2023,9,14,698.78,5,5,4,14,Champion
C08054,VIP,2023,9,10,1652.35,5,4,5,14,Champion
C08175,VIP,2023,28,9,1264.37,5,4,5,14,Champion
C08236,VIP,2023,17,13,796.88,5,5,4,14,Champion
C08323,VIP,2023,2,12,1022.51,5,4,5,14,Champion
C08410,Premium,2023,3,9,1114.57,5,4,5,14,Champion
C08464,Premium,2023,7,9,1359.33,5,4,5,14,Champion
C08566,VIP,2023,30,8,1587.57,5,4,5,14,Champion
C08592,VIP,2023,4,13,885.63,5,5,4,14,Champion
C08791,VIP,2023,2,9,1347.23,5,4,5,14,Champion
C08918,VIP,2023,19,11,1473.53,5,4,5,14,Champion
C08977,VIP,2023,39,14,1354.65,4,5,5,14,Champion
C09161,VIP,2023,25,13,789.33,5,5,4,14,Champion
C09279,VIP,2023,3,8,1058.43,5,4,5,14,Champion
C09280,VIP,2023,3,13,616.44,5,5,4,14,Champion
C09291,VIP,2023,5,13,805.81,5,5,4,14,Champion
C09397,VIP,2023,9,12,1316,5,4,5,14,Champion
C09520,VIP,2023,31,15,1147.02,4,5,5,14,Champion
C09687,VIP,2023,18,13,749.04,5,5,4,14,Champion
C09821,VIP,2023,4,11,1317.73,5,4,5,14,Champion
C09889,VIP,2023,6,8,1209.56,5,4,5,14,Champion
C09899,VIP,2023,23,8,1531.81,5,4,5,14,Champion
C00048,Premium,2023,14,11,718.11,5,4,4,13,Champion
C00072,VIP,2023,1,8,883.1,5,4,4,13,Champion
C00117,Premium,2023,8,10,552.82,5,4,4,13,Champion
C00131,VIP,2023,39,8,1627.4,4,4,5,13,Champion
C00180,VIP,2023,9,9,686.53,5,4,4,13,Champion
C00186,Regular,2023,15,7,1120.68,5,3,5,13,Loyal
C00379,Premium,2023,11,5,1077.6,5,3,5,13,Loyal
C00401,VIP,2023,2,9,917.19,5,4,4,13,Champion
C00451,VIP,2023,26,9,626.66,5,4,4,13,Champion
C00462,VIP,2023,3,7,1503.39,5,3,5,13,Loyal
C00491,Regular,2023,24,4,1060,5,3,5,13,Loyal
C00497,Regular,2023,25,8,708.05,5,4,4,13,Champion
C00501,VIP,2023,3,11,988.83,5,4,4,13,Champion
C00506,Regular,2023,22,7,1037.82,5,3,5,13,Loyal
C00625,Regular,2023,15,8,856.02,5,4,4,13,Champion
C00626,Premium,2023,46,8,2052.81,4,4,5,13,Champion
C00701,Regular,2023,7,4,1579.66,5,3,5,13,Loyal
C00720,Regular,2023,0,9,962.48,5,4,4,13,Champion
C00760,Premium,2023,31,11,1201.54,4,4,5,13,Champion
C00781,VIP,2023,16,13,402.33,5,5,3,13,Loyal
C00874,Premium,2023,6,9,782,5,4,4,13,Champion
C00880,Regular,2023,8,8,966.26,5,4,4,13,Champion
C00905,Premium,2023,12,8,534.11,5,4,4,13,Champion
C00912,VIP,2023,12,9,550.71,5,4,4,13,Champion
C00955,VIP,2023,4,10,739.78,5,4,4,13,Champion
C00995,Regular,2023,39,9,2702.32,4,4,5,13,Champion
C01006,VIP,2023,11,12,934.48,5,4,4,13,Champion
C01055,Premium,2023,34,8,1031.06,4,4,5,13,Champion
C01056,VIP,2023,14,8,957.21,5,4,4,13,Champion
C01082,VIP,2023,5,10,578.9,5,4,4,13,Champion
C01119,VIP,2023,24,10,874.75,5,4,4,13,Champion
C01141,Premium,2023,11,8,591.57,5,4,4,13,Champion
C01145,Regular,2023,3,4,1075.21,5,3,5,13,Loyal
C01146,Premium,2023,28,11,899.22,5,4,4,13,Champion
C01255,VIP,2023,24,12,753.61,5,4,4,13,Champion
C01264,Regular,2023,18,8,621.05,5,4,4,13,Champion
C01265,Premium,2023,14,8,857.04,5,4,4,13,Champion
C01280,Regular,2023,18,6,1053.84,5,3,5,13,Loyal
C01315,Premium,2023,7,8,585.73,5,4,4,13,Champion
C01319,VIP,2023,17,10,654.2,5,4,4,13,Champion
C01323,Premium,2023,13,10,620.14,5,4,4,13,Champion
C01338,VIP,2023,6,9,711.01,5,4,4,13,Champion
C01377,VIP,2023,28,7,1054.73,5,3,5,13,Loyal
C01394,Premium,2023,24,9,986.88,5,4,4,13,Champion
C01418,VIP,2023,0,9,852.78,5,4,4,13,Champion
C01464,Premium,2023,11,8,889.48,5,4,4,13,Champion
C01496,VIP,2023,68,15,1391.45,3,5,5,13,Loyal
C01500,Premium,2023,1,8,547.98,5,4,4,13,Champion
C01556,VIP,2023,50,11,1395.04,4,4,5,13,Champion
C01562,VIP,2023,5,11,893.18,5,4,4,13,Champion
C01579,VIP,2023,0,8,936.79,5,4,4,13,Champion
C01592,VIP,2023,22,8,547.38,5,4,4,13,Champion
C01631,VIP,2023,44,11,1010.87,4,4,5,13,Champion
C01642,Regular,2023,30,4,1191.52,5,3,5,13,Loyal
C01654,VIP,2023,7,10,922.73,5,4,4,13,Champion
C01657,Premium,2023,12,5,1176.47,5,3,5,13,Loyal
C01700,VIP,2023,22,11,505.2,5,4,4,13,Champion
C01708,VIP,2023,6,9,553.65,5,4,4,13,Champion
C01723,Regular,2023,12,8,509.25,5,4,4,13,Champion
C01746,Premium,2023,2,7,2074.7,5,3,5,13,Loyal
C01752,VIP,2023,21,9,510.12,5,4,4,13,Champion
C01820,VIP,2023,7,8,549.35,5,4,4,13,Champion
C01888,VIP,2023,1,9,763.84,5,4,4,13,Champion
C01944,Premium,2023,2,12,740.33,5,4,4,13,Champion
C01978,Premium,2023,6,11,968.98,5,4,4,13,Champion
C01980,VIP,2023,27,10,746.95,5,4,4,13,Champion
C01985,VIP,2023,40,13,834.94,4,5,4,13,Champion
C01998,Premium,2023,13,6,1256.1,5,3,5,13,Loyal
C02060,VIP,2023,18,12,509.08,5,4,4,13,Champion
C02070,VIP,2023,9,10,711.91,5,4,4,13,Champion
C02082,Premium,2023,25,9,571.01,5,4,4,13,Champion
C02100,Premium,2023,24,7,1056.01,5,3,5,13,Loyal
C02103,VIP,2023,36,11,1726.43,4,4,5,13,Champion
C02133,VIP,2023,13,9,620.68,5,4,4,13,Champion
C02166,VIP,2023,22,10,542.29,5,4,4,13,Champion
C02186,Premium,2023,25,11,756.01,5,4,4,13,Champion
C02206,Premium,2023,6,5,1683.12,5,3,5,13,Loyal
C02235,VIP,2023,1,9,675.23,5,4,4,13,Champion
C02286,VIP,2023,8,9,657.59,5,4,4,13,Champion
C02430,Premium,2023,18,10,626.31,5,4,4,13,Champion
C02431,Premium,2023,14,9,825.17,5,4,4,13,Champion
C02460,VIP,2023,41,8,1425.8,4,4,5,13,Champion
C02493,VIP,2023,22,9,915.33,5,4,4,13,Champion
C02494,VIP,2023,11,9,755.37,5,4,4,13,Champion
C02524,VIP,2023,2,8,792.02,5,4,4,13,Champion
C02598,VIP,2023,1,10,555.85,5,4,4,13,Champion
C02610,VIP,2023,39,11,1216.68,4,4,5,13,Champion
C02649,Premium,2023,39,8,1130.66,4,4,5,13,Champion
C02665,Premium,2023,15,6,1091.32,5,3,5,13,Loyal
C02670,Regular,2023,12,9,696.74,5,4,4,13,Champion
C02680,Premium,2023,17,6,2785.53,5,3,5,13,Loyal
C02706,VIP,2023,26,8,540.31,5,4,4,13,Champion
C02765,VIP,2023,17,11,630.18,5,4,4,13,Champion
C02771,Premium,2023,4,4,1125.22,5,3,5,13,Loyal
C02794,Premium,2023,20,8,987.92,5,4,4,13,Champion
C02852,Premium,2023,12,10,623.84,5,4,4,13,Champion
C02855,VIP,2023,4,8,566.46,5,4,4,13,Champion
C02953,VIP,2023,31,13,875.59,4,5,4,13,Champion
C03000,Premium,2023,20,9,641.15,5,4,4,13,Champion
C03041,VIP,2023,13,11,811.22,5,4,4,13,Champion
C03050,VIP,2023,3,9,621.65,5,4,4,13,Champion
C03171,Premium,2023,7,9,773.34,5,4,4,13,Champion
C03176,VIP,2023,3,11,501.95,5,4,4,13,Champion
C03204,VIP,2023,48,12,1252.66,4,4,5,13,Champion
C03248,VIP,2023,19,12,659.23,5,4,4,13,Champion
C03280,Premium,2023,43,9,1057.9,4,4,5,13,Champion
C03310,VIP,2023,0,9,742.39,5,4,4,13,Champion
C03337,VIP,2023,26,10,607.09,5,4,4,13,Champion
C03359,Premium,2023,1,8,587.51,5,4,4,13,Champion
C03370,VIP,2023,25,8,640.15,5,4,4,13,Champion
C03377,VIP,2023,19,8,769.3,5,4,4,13,Champion
C03381,VIP,2023,10,9,587.72,5,4,4,13,Champion
C03458,Budget Shopper,2023,19,5,1060.65,5,3,5,13,Loyal
C03492,VIP,2023,13,10,871.72,5,4,4,13,Champion
C03557,VIP,2023,4,9,548.61,5,4,4,13,Champion
C03610,Premium,2023,0,6,4976.64,5,3,5,13,Loyal
C03668,Regular,2023,9,8,658.09,5,4,4,13,Champion
C03680,Premium,2023,3,7,1287.61,5,3,5,13,Loyal
C03700,VIP,2023,50,11,1670.96,4,4,5,13,Champion
C03737,Premium,2023,19,9,669.03,5,4,4,13,Champion
C03758,VIP,2023,5,9,663,5,4,4,13,Champion
C03808,VIP,2023,23,8,544.17,5,4,4,13,Champion
C03879,Regular,2023,24,10,833.98,5,4,4,13,Champion
C03881,VIP,2023,11,8,606.4,5,4,4,13,Champion
C03894,VIP,2023,28,10,944.95,5,4,4,13,Champion
C03952,VIP,2023,38,9,1151.92,4,4,5,13,Champion
C04012,VIP,2023,10,12,640.24,5,4,4,13,Champion
C04044,Regular,2023,19,10,567.88,5,4,4,13,Champion
C04050,VIP,2023,29,9,587.33,5,4,4,13,Champion
C04085,VIP,2023,3,9,589.14,5,4,4,13,Champion
C04099,VIP,2023,0,11,681.82,5,4,4,13,Champion
C04117,VIP,2023,30,9,993.03,5,4,4,13,Champion
C04137,VIP,2023,11,12,588.61,5,4,4,13,Champion
C04147,Premium,2023,11,9,709.01,5,4,4,13,Champion
C04184,VIP,2023,2,11,592.25,5,4,4,13,Champion
C04185,Premium,2023,8,10,518.5,5,4,4,13,Champion
C04201,Premium,2023,19,8,500.42,5,4,4,13,Champion
C04246,VIP,2023,18,11,721.51,5,4,4,13,Champion
C04268,Premium,2023,5,8,889.85,5,4,4,13,Champion
C04282,Regular,2023,17,8,971.89,5,4,4,13,Champion
C04286,VIP,2023,39,8,1554.65,4,4,5,13,Champion
C04313,Premium,2023,7,5,1026.19,5,3,5,13,Loyal
C04391,Premium,2023,55,9,1099.23,4,4,5,13,Champion
C04408,VIP,2023,0,8,775.72,5,4,4,13,Champion
C04415,Premium,2023,17,7,1010.54,5,3,5,13,Loyal
C04431,VIP,2023,16,9,710.02,5,4,4,13,Champion
C04441,Regular,2023,9,8,545.41,5,4,4,13,Champion
C04497,Regular,2023,27,5,1571.24,5,3,5,13,Loyal
C04498,VIP,2023,24,11,874.63,5,4,4,13,Champion
C04505,Regular,2023,20,8,694.36,5,4,4,13,Champion
C04527,Premium,2023,9,8,727.01,5,4,4,13,Champion
C04548,Premium,2023,14,8,804.08,5,4,4,13,Champion
C04581,Premium,2023,39,8,1725.88,4,4,5,13,Champion
C04601,VIP,2023,4,6,1079.09,5,3,5,13,Loyal
C04651,Premium,2023,17,8,636.22,5,4,4,13,Champion
C04680,VIP,2023,13,10,899.54,5,4,4,13,Champion
C04688,VIP,2023,7,8,572.61,5,4,4,13,Champion
C04754,VIP,2023,4,11,889.55,5,4,4,13,Champion
C04823,Premium,2023,13,9,845.77,5,4,4,13,Champion
C04849,Premium,2023,25,9,761.97,5,4,4,13,Champion
C04855,VIP,2023,4,12,599.13,5,4,4,13,Champion
C04868,Regular,2023,11,4,1224.96,5,3,5,13,Loyal
C04903,VIP,2023,24,12,602.88,5,4,4,13,Champion
C04948,Premium,2023,25,10,712.54,5,4,4,13,Champion
C04980,VIP,2023,31,8,1208.12,4,4,5,13,Champion
C04988,VIP,2023,7,9,548.68,5,4,4,13,Champion
C04991,VIP,2023,0,11,867.31,5,4,4,13,Champion
C05020,VIP,2023,17,11,697.05,5,4,4,13,Champion
C05084,VIP,2023,10,8,502.55,5,4,4,13,Champion
C05099,VIP,2023,24,9,895.6,5,4,4,13,Champion
C05128,VIP,2023,3,12,802.88,5,4,4,13,Champion
C05134,VIP,2023,42,10,1067.87,4,4,5,13,Champion
C05150,Premium,2023,12,6,2347.89,5,3,5,13,Loyal
C05185,VIP,2023,38,11,1177.7,4,4,5,13,Champion
C05188,VIP,2023,2,11,752.42,5,4,4,13,Champion
C05216,Regular,2023,12,6,1576.98,5,3,5,13,Loyal
C05279,Premium,2023,5,11,863,5,4,4,13,Champion
C05301,Regular,2023,20,6,1204.14,5,3,5,13,Loyal
C05342,VIP,2023,23,9,733.43,5,4,4,13,Champion
C05350,VIP,2023,6,12,943.19,5,4,4,13,Champion
C05364,VIP,2023,12,7,2108.34,5,3,5,13,Loyal
C05367,Premium,2023,0,9,637.73,5,4,4,13,Champion
C05402,Regular,2023,12,10,539.74,5,4,4,13,Champion
C05428,VIP,2023,4,10,662.31,5,4,4,13,Champion
C05438,VIP,2023,33,10,1478.85,4,4,5,13,Champion
C05486,VIP,2023,38,13,538.71,4,5,4,13,Champion
C05504,VIP,2023,49,10,2273.43,4,4,5,13,Champion
C05561,Regular,2023,9,4,1248.78,5,3,5,13,Loyal
C05650,VIP,2023,50,10,1122.02,4,4,5,13,Champion
C05675,VIP,2023,3,11,720.32,5,4,4,13,Champion
C05698,VIP,2023,54,10,1443.16,4,4,5,13,Champion
C05770,Premium,2023,24,8,564.97,5,4,4,13,Champion
C05771,VIP,2023,28,9,521.21,5,4,4,13,Champion
C05783,VIP,2023,38,9,1069.43,4,4,5,13,Champion
C05893,Premium,2023,23,9,553.79,5,4,4,13,Champion
C05907,Regular,2023,30,7,1476.79,5,3,5,13,Loyal
C05918,VIP,2023,28,10,924.88,5,4,4,13,Champion
C05928,VIP,2023,11,12,870.6,5,4,4,13,Champion
C06079,VIP,2023,29,10,952.52,5,4,4,13,Champion
C06132,Premium,2023,13,9,665.38,5,4,4,13,Champion
C06148,VIP,2023,12,8,838.57,5,4,4,13,Champion
C06169,Premium,2023,25,7,1471.54,5,3,5,13,Loyal
C06254,VIP,2023,6,11,848.89,5,4,4,13,Champion
C06255,VIP,2023,6,9,785.82,5,4,4,13,Champion
C06277,Premium,2023,12,9,606.51,5,4,4,13,Champion
C06284,Premium,2023,7,11,818.1,5,4,4,13,Champion
C06289,VIP,2023,8,9,500.18,5,4,4,13,Champion
C06301,Regular,2023,19,8,629.65,5,4,4,13,Champion
C06317,Premium,2023,1,11,576.83,5,4,4,13,Champion
C06377,VIP,2023,28,11,527.05,5,4,4,13,Champion
C06385,VIP,2023,29,8,899.89,5,4,4,13,Champion
C06413,VIP,2023,29,6,1304.17,5,3,5,13,Loyal
C06434,Regular,2023,3,4,1399.43,5,3,5,13,Loyal
C06461,Premium,2023,10,4,1258.89,5,3,5,13,Loyal
C06485,VIP,2023,2,10,742.22,5,4,4,13,Champion
C06500,VIP,2023,13,9,505.56,5,4,4,13,Champion
C06558,VIP,2023,6,9,595.97,5,4,4,13,Champion
C06560,Regular,2023,25,5,1159.69,5,3,5,13,Loyal
C06606,VIP,2023,4,11,877.2,5,4,4,13,Champion
C06625,VIP,2023,18,10,762.52,5,4,4,13,Champion
C06634,Premium,2023,25,9,601.92,5,4,4,13,Champion
C06719,Regular,2023,19,9,861.86,5,4,4,13,Champion
C06732,VIP,2023,18,9,694.98,5,4,4,13,Champion
C06809,Premium,2023,11,11,656.45,5,4,4,13,Champion
C06839,VIP,2023,29,10,945.9,5,4,4,13,Champion
C06884,VIP,2023,35,11,2966.8,4,4,5,13,Champion
C06896,VIP,2023,27,8,572.82,5,4,4,13,Champion
C06915,VIP,2023,1,8,689.93,5,4,4,13,Champion
C06949,VIP,2023,13,10,882.43,5,4,4,13,Champion
C07026,Regular,2023,11,8,799.46,5,4,4,13,Champion
C07038,VIP,2023,6,11,618.21,5,4,4,13,Champion
C07039,VIP,2023,4,11,965.49,5,4,4,13,Champion
C07056,VIP,2023,25,9,879.8,5,4,4,13,Champion
C07114,Premium,2023,21,9,517.61,5,4,4,13,Champion
C07128,VIP,2023,36,9,1094.99,4,4,5,13,Champion
C07141,Premium,2023,30,6,1013.32,5,3,5,13,Loyal
C07147,Premium,2023,1,8,610.01,5,4,4,13,Champion
C07189,Premium,2023,23,10,585.55,5,4,4,13,Champion
C07201,Regular,2023,18,5,2620.86,5,3,5,13,Loyal
C07236,Regular,2023,16,9,979.21,5,4,4,13,Champion
C07260,VIP,2023,7,9,745.83,5,4,4,13,Champion
C07270,VIP,2023,12,11,690.98,5,4,4,13,Champion
C07316,VIP,2023,17,11,717.11,5,4,4,13,Champion
C07342,VIP,2023,0,8,540.76,5,4,4,13,Champion
C07354,Regular,2023,13,4,1391.91,5,3,5,13,Loyal
C07362,VIP,2023,3,10,918.9,5,4,4,13,Champion
C07363,Premium,2023,0,8,554.01,5,4,4,13,Champion
C07430,Premium,2023,13,9,574.04,5,4,4,13,Champion
C07445,Premium,2023,22,9,924.21,5,4,4,13,Champion
C07490,VIP,2023,17,10,628.78,5,4,4,13,Champion
C07501,Premium,2023,28,10,572.78,5,4,4,13,Champion
C07513,Premium,2023,5,9,771.94,5,4,4,13,Champion
C07527,Premium,2023,0,8,576.82,5,4,4,13,Champion
C07558,VIP,2023,4,8,557.41,5,4,4,13,Champion
C07565,VIP,2023,2,8,845.52,5,4,4,13,Champion
C07592,Premium,2023,9,10,518.44,5,4,4,13,Champion
C07595,VIP,2023,12,11,673.5,5,4,4,13,Champion
C07612,Premium,2023,14,4,1283.03,5,3,5,13,Loyal
C07709,Premium,2023,22,12,808.33,5,4,4,13,Champion
C07750,VIP,2023,6,12,781.43,5,4,4,13,Champion
C07752,VIP,2023,11,8,648.87,5,4,4,13,Champion
C07787,Premium,2023,29,4,1270.62,5,3,5,13,Loyal
C07840,VIP,2023,21,10,643.78,5,4,4,13,Champion
C07855,Premium,2023,29,10,754.96,5,4,4,13,Champion
C07891,VIP,2023,23,9,616.4,5,4,4,13,Champion
C07924,Premium,2023,39,10,2508.01,4,4,5,13,Champion
C07929,Premium,2023,21,9,543.66,5,4,4,13,Champion
C07949,VIP,2023,4,9,751.04,5,4,4,13,Champion
C07950,Premium,2023,43,12,1029.71,4,4,5,13,Champion
C07975,VIP,2023,3,8,634.84,5,4,4,13,Champion
C07986,VIP,2023,13,9,538.69,5,4,4,13,Champion
C07989,VIP,2023,6,12,748.63,5,4,4,13,Champion
C08012,Premium,2023,10,9,722.57,5,4,4,13,Champion
C08035,VIP,2023,24,6,2181.17,5,3,5,13,Loyal
C08040,Budget Shopper,2023,30,4,1052.55,5,3,5,13,Loyal
C08051,Premium,2023,5,8,645.09,5,4,4,13,Champion
C08086,VIP,2023,8,12,524.01,5,4,4,13,Champion
C08090,Regular,2023,21,4,1252.3,5,3,5,13,Loyal
C08112,VIP,2023,6,12,636.98,5,4,4,13,Champion
C08185,VIP,2023,4,11,781.51,5,4,4,13,Champion
C08194,VIP,2023,1,9,772.15,5,4,4,13,Champion
C08228,VIP,2023,22,10,629.28,5,4,4,13,Champion
C08232,VIP,2023,27,10,547.14,5,4,4,13,Champion
C08234,VIP,2023,10,6,1358.13,5,3,5,13,Loyal
C08283,Regular,2023,6,5,1582.78,5,3,5,13,Loyal
C08317,VIP,2023,1,9,599,5,4,4,13,Champion
C08326,Premium,2023,16,8,819.25,5,4,4,13,Champion
C08438,VIP,2023,9,8,588.03,5,4,4,13,Champion
C08457,VIP,2023,20,11,860.72,5,4,4,13,Champion
C08484,Premium,2023,9,10,666.84,5,4,4,13,Champion
C08486,VIP,2023,9,9,948.37,5,4,4,13,Champion
C08520,Regular,2023,18,6,1405.77,5,3,5,13,Loyal
C08526,Premium,2023,12,8,593.96,5,4,4,13,Champion
C08559,VIP,2023,24,8,648.69,5,4,4,13,Champion
C08615,Regular,2023,14,8,655.32,5,4,4,13,Champion
C08617,Premium,2023,13,8,646.91,5,4,4,13,Champion
C08646,Premium,2023,11,7,1220.77,5,3,5,13,Loyal
